query_id,query_text,query_image_path,product_id,title,product_type,color,material,image_path,relevance,reason
q001,"gray fabric sofa for a small living room, not leather",,B086B5MRFB|amazon.in,Solimo - 3 Seater Sofa Cum Bed with Storage,SOFA,Grey,Fabric,data/raw/images/small/a8/a80130a2.jpg,2.0,"The product is a gray fabric sofa that matches all user requirements, including the negative constraint of not being leather."
q001,"gray fabric sofa for a small living room, not leather",,B07BWJCVR2|amazon.com,"Amazon Brand – Stone & Beam Carrigan Modern Chaise Sofa Couch with Slipcover, 95""W, Grey Taupe",FURNITURE_COVER,Grey Taupe,stone,data/raw/images/small/cb/cb67cd51.jpg,2.0,"The product is a grey fabric chaise sofa that matches the color, material, and style requested."
q001,"gray fabric sofa for a small living room, not leather",,B07QJXW4JR|amazon.com,"Amazon Brand – Stone & Beam Elizabeth Contemporary Loveseat Sofa, 65""W, Light Grey",SOFA,Flax,,data/raw/images/small/9c/9cbe26d9.jpg,2.0,"The product is a light grey loveseat sofa, which matches the color, material type, and intended use case."
q001,"gray fabric sofa for a small living room, not leather",,B07B4D4964|amazon.com,"Amazon Brand – Stone & Beam Andover Modern Right Chaise Sofa Sectional, 126""W, Pewter",SOFA,Pewter,pewter,data/raw/images/small/c7/c79e820b.jpg,2.0,The product is a gray (pewter) fabric sectional sofa that matches all user requirements and constraints.
q001,"gray fabric sofa for a small living room, not leather",,B0723H8HJY|amazon.com,"Amazon Brand – Stone & Beam Kristin Performance Fabric Sectional Sofa Couch, 93""W, Stone",SOFA,Stone,Wood frame; Polyester/nylon,data/raw/images/small/18/1882f1e4.jpg,2.0,"The product is a stone-colored fabric sectional that matches the color, material, and type requested."
q001,"gray fabric sofa for a small living room, not leather",,B07HPNBTHF|amazon.co.uk,"Amazon Brand - Alkove Porto Hand-Crafted Leather Sofa, 3 Seater, 97 x 210 x 90cm, Mineral",SOFA,Beige,Leather,data/raw/images/small/69/696bf8f6.jpg,0.0,The product violates the explicit negative constraint of 'not leather' as it is a leather sofa.
q001,"gray fabric sofa for a small living room, not leather",,B073G8Q656|amazon.com,"Amazon Brand – Stone & Beam Carrigan Modern Sofa Couch with Slipcover, 88.5""W, Grey Taupe",FURNITURE_COVER,Grey Taupe,hardwood and laminate wood with 100% cotton,data/raw/images/small/54/540d3b8b.jpg,2.0,"The product is a grey fabric sofa that matches the color, material, and size requirements, and it is not leather."
q001,"gray fabric sofa for a small living room, not leather",,B07B4D88DY|amazon.com,"Amazon Brand – Rivet Edgewest Low Back Modern Right Chaise Sofa Sectional, 115""W, Charcoal Grey",SOFA,Charcoal Grey,Metal,data/raw/images/small/15/15709191.jpg,2.0,The product is a charcoal grey sectional sofa that matches the color and material requirements (fabric/not leather).
q001,"gray fabric sofa for a small living room, not leather",,B07K2JGTDN|amazon.com,"Rivet Marble (Light Grey) Swatch, Rivet",SOFA,Marble (Light Grey),,data/raw/images/small/6a/6ad750cf.jpg,0.0,"The product is a fabric swatch, not a sofa."
q001,"gray fabric sofa for a small living room, not leather",,B07B4MRLT8|amazon.com,"Amazon Brand – Stone & Beam Bartow Living Room Sectional Sofa Couch with Slipcover, 95.5""W, Grey",FURNITURE_COVER,Grey,stone,data/raw/images/small/a2/a2b3856e.jpg,1.0,"The product is a grey sofa as requested, but the metadata incorrectly identifies the product type as a furniture cover rather than the sofa itself."
q001,"gray fabric sofa for a small living room, not leather",,B072PZJZXW|amazon.com,"Amazon Brand – Rivet Emerly Modern Loveseat Sofa, 63""W, Pewter",SOFA,Pewter,"Velvet, Hardwood frame, Metal legs",data/raw/images/small/4c/4c731a69.jpg,2.0,"The product is a gray (pewter) velvet loveseat, which matches the color, material, and small size requirements, and is not leather."
q001,"gray fabric sofa for a small living room, not leather",,B07QFP4M7W|amazon.com,"Stone & Beam Abigail Sofa Couch, 86""W, Golden Brown",SOFA,Golden Brown,,data/raw/images/small/10/106399e0.jpg,0.0,"The product color is golden brown, which does not match the requested gray color."
q001,"gray fabric sofa for a small living room, not leather",,B07QBMQ4YF|amazon.com,"Amazon Brand – Rivet Aiden Mid-Century Sectional with Tapered Wood Legs, 86""W, Hunter Green",SOFA,Hunter Green,Wood,data/raw/images/small/27/270f14e1.jpg,0.0,"The product color is Hunter Green, which does not match the requested gray color."
q001,"gray fabric sofa for a small living room, not leather",,B07BW8QSLC|amazon.com,"Amazon Brand – Rivet Edgewest Low Back Modern Right U-Sectional, 117""W, Blue",SOFA,Blue,Metal,data/raw/images/small/ac/aca67746.jpg,1.0,"The product is a sectional sofa that matches the style and material (fabric) requested, though the color is blue rather than gray."
q001,"gray fabric sofa for a small living room, not leather",,B07WG2MHC7|amazon.in,Amazon Brand - Solimo Buda Fabric 1 seater Sofa (Blue),FURNITURE,BLUE,Wood,data/raw/images/small/ef/ef0ebff4.jpg,1.0,"The product is a fabric sofa as requested, but it is blue instead of gray and is a 1-seater rather than a full sofa."
q001,"gray fabric sofa for a small living room, not leather",,B07PC11RS2|amazon.com,"Amazon Brand – Stone & Beam Leila Tufted Leather Loveseat Sofa Couch, 69""W, Saddle",SOFA,Saddle,Leather,data/raw/images/small/5a/5a75ad91.jpg,0.0,"The product is made of leather, which violates the user's negative constraint of 'not leather'."
q001,"gray fabric sofa for a small living room, not leather",,B07B4FWGZS|amazon.com,"Amazon Brand – Stone & Beam Andover Sofa Couch, 90""W, Saddle-Colored Leather",SOFA,Saddle,stone,data/raw/images/small/35/35ae12f9.jpg,0.0,"The product is leather and saddle-colored, violating the user's negative constraint of 'not leather' and the color preference for gray."
q001,"gray fabric sofa for a small living room, not leather",,B083XBTBCH|amazon.ca,"Rivet Andrews Contemporary Top-Grain Leather Ottoman, 30""W, Brown (Renewed)",HOME_FURNITURE_AND_DECOR,Dark Brown,,data/raw/images/small/94/941703a0.jpg,0.0,"The product is a leather ottoman, which violates the user's negative constraint of 'not leather' and does not match the requested item type (sofa)."
q001,"gray fabric sofa for a small living room, not leather",,B07P6JWDG5|amazon.com,"Amazon Brand – Rivet Andrews Contemporary Top-Grain Leather Ottoman, 30""W, Brown",OTTOMAN,Dark Brown,,data/raw/images/small/bc/bc0c5cf2.jpg,0.0,"The product is a leather ottoman, which violates the user's negative constraint of 'not leather'."
q001,"gray fabric sofa for a small living room, not leather",,B075X4VM6B|amazon.com,"Amazon Brand – Rivet Uptown Mid-Century Velvet Tufted Customizable Daybed Sofa, 78""W, Shadow & Black",SOFA,Shadow,Solid wood frame; Velvet upholstery; Metal,data/raw/images/small/f0/f0ec5209.jpg,1.0,"The product is a fabric (velvet) daybed sofa that is not leather, but the color is a dark blue/shadow rather than gray."
q002,modern wooden coffee table with storage,,B07GF51SLB|amazon.co.uk,"Amazon Brand - Rivet Rectangular Coffee Table with 1-Shelf, 120 x 65 x 35cm, MDF with Walnut Veneer/Black Metal Frame",TABLE,Walnut/Black Metal Frame,"MDF with walnut veneer, powder coated metal",data/raw/images/small/7a/7a642379.jpg,2.0,"The product is a rectangular wooden coffee table with a shelf for storage, matching all query criteria."
q002,modern wooden coffee table with storage,,B07QC861L7|amazon.com,"Amazon Brand – Rivet Campbell Mid-Century Coffee Table with Tapered Legs, 47""W, Pale Wood and White",TABLE,Walnut/White,Engineered Wood,data/raw/images/small/41/4128dac1.jpg,2.0,The product is a mid-century modern coffee table with both wood and white finishes and includes storage compartments.
q002,modern wooden coffee table with storage,,B07K7NNS6N|amazon.co.uk,"Amazon Brand - Alkove Hayes Solid Wood 1-Shelf Coffee Table with Glass Table Top, 100 x 60 x 48cm, Glass/Wild Oak",TABLE,Wild Oak,Oak,data/raw/images/small/6f/6fe3a734.jpg,2.0,"The product is a wooden coffee table with a glass top and a shelf for storage, matching all query criteria."
q002,modern wooden coffee table with storage,,B07QJLWJJM|amazon.ca,"Stone & Beam Kensington Coffee Table with Chevron Design, 56"" W, Acacia",TABLE,Walnut/Black,,data/raw/images/small/16/16300918.jpg,2.0,"The product is a wooden coffee table with a chevron design and a storage shelf, matching all query criteria."
q002,modern wooden coffee table with storage,,B07J1YW3YT|amazon.com,"AmazonBasics Lift-Top Storage Coffee Table, Natural",TABLE,Natural,Wood,data/raw/images/small/9e/9e6c695c.jpg,1.0,"The product is a wooden coffee table with storage, but it is a lift-top design rather than a 'odern' style as requested."
